Title,IR,FlowHt,Const,Var,Sand,Ash,delIR,delFlow
base,1.0000 ,0.0000 ,1,0,1,0,0.0000 ,0
base,0.9995 ,0.1798 ,1,0,1,0,-0.0005 ,0.1798 
base,0.9985 ,0.5389 ,1,0,1,0,-0.0010 ,0.3590 
base,0.9970 ,1.0757 ,1,0,1,0,-0.0015 ,0.5368 
base,0.9950 ,1.7884 ,1,0,1,0,-0.0020 ,0.7127 
base,0.9925 ,2.6742 ,1,0,1,0,-0.0025 ,0.8859 
base,0.9895 ,3.7300 ,1,0,1,0,-0.0030 ,1.0557 
base,0.9860 ,4.9516 ,1,0,1,0,-0.0035 ,1.2217 
base,0.9820 ,6.3347 ,1,0,1,0,-0.0040 ,1.3830 
base,0.9775 ,7.8739 ,1,0,1,0,-0.0045 ,1.5392 
base,0.9725 ,9.5635 ,1,0,1,0,-0.0050 ,1.6896 
base,0.9670 ,11.3973 ,1,0,1,0,-0.0055 ,1.8337 
base,0.9610 ,13.3682 ,1,0,1,0,-0.0060 ,1.9709 
base,0.9545 ,15.4688 ,1,0,1,0,-0.0065 ,2.1007 
base,0.9475 ,17.6913 ,1,0,1,0,-0.0070 ,2.2225 
base,0.9400 ,20.0272 ,1,0,1,0,-0.0075 ,2.3359 
base,0.9320 ,22.4677 ,1,0,1,0,-0.0080 ,2.4405 
base,0.9235 ,25.0035 ,1,0,1,0,-0.0085 ,2.5358 
base,0.9145 ,27.6249 ,1,0,1,0,-0.0090 ,2.6214 
base,0.9050 ,30.3220 ,1,0,1,0,-0.0095 ,2.6971 
base,0.8950 ,33.0844 ,1,0,1,0,-0.0100 ,2.7624 
base,0.8845 ,35.9016 ,1,0,1,0,-0.0105 ,2.8172 
base,0.8735 ,38.7628 ,1,0,1,0,-0.0110 ,2.8612 
base,0.8620 ,41.6570 ,1,0,1,0,-0.0115 ,2.8942 
base,0.8500 ,44.5731 ,1,0,1,0,-0.0120 ,2.9161 
base,0.8375 ,47.5000 ,1,0,1,0,-0.0125 ,2.9268 
base,0.8245 ,50.4263 ,1,0,1,0,-0.0130 ,2.9263 
base,0.8110 ,53.3409 ,1,0,1,0,-0.0135 ,2.9146 
base,0.7970 ,56.2326 ,1,0,1,0,-0.0140 ,2.8918 
base,0.7825 ,59.0905 ,1,0,1,0,-0.0145 ,2.8579 
base,0.7675 ,61.9038 ,1,0,1,0,-0.0150 ,2.8132 
base,0.7520 ,64.6618 ,1,0,1,0,-0.0155 ,2.7580 
